Sample_unique_id,Treat,Plate,library,Cell,Dose,Time,Compound name,Catalog Number,Catalog Number.1,smiles
sample2_238,Compd0414,Plate5,2,293T,10uM,24h,Rosavin,Cpd0414,84954-92-7,C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC=CC3=CC=CC=C3)O)O)O)O)O)O
sample2_239,Compd0415,Plate5,2,293T,10uM,24h,Tracheloside,Cpd0415,33464-71-0,COC1=C(C=C(C=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)O)OC
sample2_24,Compd0424,Plate5,2,293T,10uM,24h,Ergosterol,Cpd0424,57-87-4,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C
sample2_240,Compd0416,Plate5,2,293T,10uM,24h,Astilbin,Cpd0416,29838-67-3,CC1C(C(C(C(O1)OC2C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
sample2_241,Compd0417,Plate5,2,293T,10uM,24h,Aristolochic acid A,Cpd0417,313-67-7,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O
sample2_242,Compd0418,Plate5,2,293T,10uM,24h,Loganic acid,Cpd0418,22255-40-9,CC1C(CC2C1C(OC=C2C(=O)O)OC3C(C(C(C(O3)CO)O)O)O)O
sample2_244,Compd0420,Plate5,2,293T,10uM,24h,"Ophiogenin
3-O-α-L-rhamn opyranosyl-(1→ 2)-β-D-glucopyr
anoside",Cpd0420,128502-94-3,CC1CCC2(C(C3(C(O2)CC4(C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)O)O)C)OC1
sample2_245,Compd0421,Plate5,2,293T,10uM,24h,"4-((2-ethylidene
-4-hydroxy-6-m ethylhept-5-en-1
-yl)oxy)-bergapt
ol",Cpd0421,,
sample2_246,Compd0422,Plate5,2,293T,10uM,24h,Ophiopogonin D,Cpd0422,945619-74-9,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(C(CC(C6)O)OC7C(C(C(C(O7)C)O)OC8C(C(C(CO8)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1
sample2_248,Compd0424,Plate5,2,293T,10uM,24h,Ergosterol,Cpd0424,57-87-4,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C
sample2_249,Compd0425,Plate5,2,293T,10uM,24h,Casticin,Cpd0425,479-91-4,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC)O
sample2_25,Compd0425,Plate5,2,293T,10uM,24h,Casticin,Cpd0425,479-91-4,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC)O
sample2_250,Compd0426,Plate5,2,293T,10uM,24h,Ononin,Cpd0426,486-62-4,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O
sample2_251,Compd0427,Plate5,2,293T,10uM,24h,Formononetin,Cpd0427,485-72-3,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O
sample2_252,Compd0428,Plate5,2,293T,10uM,24h,Mangiferin,Cpd0428,4773-96-0,C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=C(C(=C3)O)C4C(C(C(C(O4)CO)O)O)O)O
sample2_253,Compd0429,Plate5,2,293T,10uM,24h,Hirsutine,Cpd0429,7729-23-9,CCC1CN2CCC3=C(C2CC1C(=COC)C(=O)OC)NC4=CC=CC=C34
sample2_254,Compd0430,Plate5,2,293T,10uM,24h,Toddalolactone,Cpd0430,483-90-9,CC(C)(C(CC1=C(C=C2C(=C1OC)C=CC(=O)O2)OC)O)O
sample2_255,Compd0431,Plate5,2,293T,10uM,24h,cis-Tiliroside,Cpd0431,163956-16-9,C1=CC(=CC=C1C=CC(=O)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O
sample2_256,Compd0432,Plate5,2,293T,10uM,24h,"Calycosin
7-O-β-D-glucopyranoside",Cpd0432,20633-67-4,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O
sample2_257,Compd0433,Plate5,2,293T,10uM,24h,Obtusifolin,Cpd0433,477-85-0,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C2=O)C=CC=C3O
sample2_258,Compd0434,Plate5,2,293T,10uM,24h,Gallic acid,Cpd0434,149-91-7,C1=C(C=C(C(=C1O)O)O)C(=O)O
sample2_259,Compd0435,Plate5,2,293T,10uM,24h,Linarin,Cpd0435,480-36-4,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)OC)O)O)O)O)O)O)O
sample2_26,Compd0426,Plate5,2,293T,10uM,24h,Ononin,Cpd0426,486-62-4,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O
sample2_260,Compd0436,Plate5,2,293T,10uM,24h,Morroniside,Cpd0436,25406-64-8,CC1C2C(CC(O1)O)C(=COC2OC3C(C(C(C(O3)CO)O)O)O)C(=O)OC
sample2_261,Compd0437,Plate5,2,293T,10uM,24h,Mudanpioside C,Cpd0437,172760-03-1,CC12CC3(C4CC1(C4(C(O2)O3)COC(=O)C5=CC=C(C=C5)O)OC6C(C(C(C(O6)COC(=O)C7=CC=CC=C7)O)O)O)O
sample2_262,Compd0438,Plate5,2,293T,10uM,24h,Vitexin,Cpd0438,3681-93-4,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O
sample2_263,Compd0439,Plate5,2,293T,10uM,24h,"Vitexin
2''-O-rhamnosid e",Cpd0439,64820-99-1,CC1C(C(C(C(O1)OC2C(C(C(OC2C3=C(C=C(C4=C3OC(=CC4=O)C5=CC=C(C=C5)O)O)O)CO)O)O)O)O)O
sample2_264,Compd0440,Plate5,2,293T,10uM,24h,"Vitexin
4''-O-glucoside",Cpd0440,178468-00-3,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)OC5C(C(C(C(O5)CO)O)O)O)O)O)O
sample2_265,Compd0441,Plate5,2,293T,10uM,24h,Oroxin B,Cpd0441,114482-86-9,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)COC5C(C(C(C(O5)CO)O)O)O)O)O)O)O)O
sample2_266,Compd0442,Plate5,2,293T,10uM,24h,Oroxin A,Cpd0442,57396-78-8,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O
sample2_267,Compd0443,Plate5,2,293T,10uM,24h,Magnolin,Cpd0443,31008-18-1,CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)O)O)O)OC
sample2_268,Compd0444,Plate5,2,293T,10uM,24h,Calceolarioside B,Cpd0444,105471-98-5,C1=CC(=C(C=C1CCOC2C(C(C(C(O2)COC(=O)C=CC3=CC(=C(C=C3)O)O)O)O)O)O)O
sample2_269,Compd0445,Plate5,2,293T,10uM,24h,Luteoloside,Cpd0445,5373-11-5,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O
sample2_27,Compd0427,Plate5,2,293T,10uM,24h,Formononetin,Cpd0427,485-72-3,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O
sample2_270,Compd0446,Plate5,2,293T,10uM,24h,"Luteolin
7-O-glucuronide",Cpd0446,29741-10-4,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O)O
sample2_271,Compd0447,Plate5,2,293T,10uM,24h,Costunolide,Cpd0447,553-21-9,CC1=CCCC(=CC2C(CC1)C(=C)C(=O)O2)C
sample2_272,Compd0448,Plate5,2,293T,10uM,24h,Rhodojaponin V,Cpd0448,37720-86-8,CC(=O)OC1C2CCC3C1(CC(C4(C(C3(C)O)C5C(C4(C)C)O5)O)O)CC2(C)O
sample2_273,Compd0449,Plate5,2,293T,10uM,24h,Arctiin,Cpd0449,20362-31-6,COC1=C(C=C(C=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)OC
sample2_274,Compd0450,Plate5,2,293T,10uM,24h,"Arctigenin
4'-O-β-gentiobi oside",Cpd0450,41682-24-0,COC1=C(C=C(C=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)OC4C(C(C(C(O4)COC5C(C(C(C(O5)CO)O)O)O)O)O)O)OC)OC
sample2_275,Compd0451,Plate5,2,293T,10uM,24h,Ligustroflavone,Cpd0451,260413-62-5,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)OC6C(C(C(C(O6)C)O)O)O)O)O)O)O)O
sample2_277,Compd0453,Plate5,2,293T,10uM,24h,Levistolide A,Cpd0453,88182-33-6,CCCC=C1C2=C(C3C(CC2)C4CCC35C(=C4)C(=O)OC5=CCCC)C(=O)O1
sample2_278,Compd0454,Plate5,2,293T,10uM,24h,Imperatorin,Cpd0454,482-44-0,CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C
sample2_279,Compd0455,Plate5,2,293T,10uM,24h,Wedelolactone,Cpd0455,524-12-9,COC1=CC(=C2C(=C1)OC(=O)C3=C2OC4=CC(=C(C=C43)O)O)O
sample2_28,Compd0428,Plate5,2,293T,10uM,24h,Mangiferin,Cpd0428,4773-96-0,C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=C(C(=C3)O)C4C(C(C(C(O4)CO)O)O)O)O
sample2_280,Compd0456,Plate5,2,293T,10uM,24h,Alnustone,Cpd0456,33457-62-4,C1=CC=C(C=C1)CCC(=O)C=CC=CC2=CC=CC=C2
sample2_281,Compd0457,Plate5,2,293T,10uM,24h,Fisetin,Cpd0457,528-48-3,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
sample2_282,Compd0458,Plate5,2,293T,10uM,24h,Oleanolic acid,Cpd0458,508-02-1,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C
sample2_283,Compd0459,Plate5,2,293T,10uM,24h,Oleanonic acid,Cpd0459,17990-42-0,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C2C1)C)C(=O)O)C
sample2_284,Compd0460,Plate5,2,293T,10uM,24h,Chamigrenal,Cpd0460,19912-84-6,CC1(CCCC(=C)C12CCC(=CC2)C=O)C
sample2_285,Compd0461,Plate5,2,293T,10uM,24h,Oroxylin A,Cpd0461,480-11-5,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=CC=C3)O
sample2_287,Compd0463,Plate5,2,293T,10uM,24h,Euphorbiasteroi d,Cpd0463,28649-59-4,CC1CC2(C(C1OC(=O)CC3=CC=CC=C3)C(C4(CCC5C(C5(C)C)C=C(C2=O)C)CO4)OC(=O)C)OC(=O)C
sample2_288,Compd0464,Plate5,2,293T,10uM,24h,Precyasterone,Cpd0464,27335-85-9,CC1C(CC(OC1=O)C(C)(C2CCC3(C2(CCC4C3=CC(=O)C5C4(CC(C(C5)O)O)C)C)O)O)C(C)O
sample2_289,Compd0465,Plate5,2,293T,10uM,24h,Notopterol,Cpd0465,88206-46-6,CC(=CC(CC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)C)O)C
sample2_29,Compd0429,Plate5,2,293T,10uM,24h,Hirsutine,Cpd0429,7729-23-9,CCC1CN2CCC3=C(C2CC1C(=COC)C(=O)OC)NC4=CC=CC=C34
sample2_290,Compd0466,Plate5,2,293T,10uM,24h,Hydroxysafflor yellow A,Cpd0466,78281-02-4,C1=CC(=CC=C1C=CC(=C2C(=C(C(=O)C(C2=O)(C3C(C(C(C(O3)CO)O)O)O)O)C4C(C(C(C(O4)CO)O)O)O)O)O)O
sample2_291,Compd0467,Plate5,2,293T,10uM,24h,Madecassoside,Cpd0467,34540-22-2,CC1CCC2(CCC3(C(=CCC4C3(CC(C5C4(CC(C(C5(C)CO)O)O)C)O)C)C2C1C)C)C(=O)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)O)O)O)O
sample2_292,Compd0468,Plate5,2,293T,10uM,24h,Pinocembrin,Cpd0468,480-39-7,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
sample2_293,Compd0469,Plate5,2,293T,10uM,24h,Apigenin,Cpd0469,520-36-5,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
sample2_294,Compd0470,Plate5,2,293T,10uM,24h,"Apigenin
7-O-(2G-rhamn osyl)gentiobiosi de",Cpd0470,174284-20-9,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)COC6C(C(C(C(O6)CO)O)O)O)O)O)O)O)O
sample2_295,Compd0471,Plate5,2,293T,10uM,24h,"Apigenin
7-O-glucuronide",Cpd0471,29741-09-1,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O
sample2_296,Compd0472,Plate5,2,293T,10uM,24h,Fraxin,Cpd0472,524-30-1,COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O
sample2_297,Compd0473,Plate5,2,293T,10uM,24h,Esculin,Cpd0473,531-75-9,C1=CC(=O)OC2=CC(=C(C=C21)OC3C(C(C(C(O3)CO)O)O)O)O
sample2_298,Compd0474,Plate5,2,293T,10uM,24h,Fraxetin,Cpd0474,574-84-5,COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)O
sample2_299,Compd0475,Plate5,2,293T,10uM,24h,Esculetin,Cpd0475,305-01-1,C1=CC(=O)OC2=CC(=C(C=C21)O)O
sample2_3,Compd0403,Plate5,2,293T,10uM,24h,Ruscogenin,Cpd0403,472-11-7,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(C(CC(C6)O)O)C)C)C)OC1
sample2_30,Compd0430,Plate5,2,293T,10uM,24h,Toddalolactone,Cpd0430,483-90-9,CC(C)(C(CC1=C(C=C2C(=C1OC)C=CC(=O)O2)OC)O)O
sample2_300,Compd0476,Plate5,2,293T,10uM,24h,Artemisinin,Cpd0476,63968-64-9,CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C
sample2_301,Compd0477,Plate5,2,293T,10uM,24h,Arecoline hydrobromide,Cpd0477,300-08-3,CN1CCC=C(C1)C(=O)OC.Br
sample2_302,Compd0478,Plate5,2,293T,10uM,24h,Colchicine,Cpd0478,64-86-8,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
sample2_303,Compd0479,Plate5,2,293T,10uM,24h,Demethoxycurc umin,Cpd0479,22608-11-3,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
sample2_304,Compd0480,Plate5,2,293T,10uM,24h,Norisoboldine,Cpd0480,23599-69-1,COC1=C(C2=C3C(CC4=CC(=C(C=C42)OC)O)NCCC3=C1)O
sample2_305,Compd0481,Plate5,2,293T,10uM,24h,Dehydrodiisoeu genol,Cpd0481,2680-81-1,CC=CC1=CC2=C(C(=C1)OC)OC(C2C)C3=CC(=C(C=C3)O)OC
sample2_306,Compd0482,Plate5,2,293T,10uM,24h,Isocorynoxeine,Cpd0482,51014-29-0,COC=C(C1CC2C3(CCN2CC1C=C)C4=CC=CC=C4NC3=O)C(=O)OC
sample2_307,Compd0483,Plate5,2,293T,10uM,24h,Hirsuteine,Cpd0483,35467-43-7,COC=C(C1CC2C3=C(CCN2CC1C=C)C4=CC=CC=C4N3)C(=O)OC
sample2_308,Compd0484,Plate5,2,293T,10uM,24h,Dehydrocostus lactone,Cpd0484,477-43-0,C=C1CCC2C(C3C1CCC3=C)OC(=O)C2=C
sample2_309,Compd0485,Plate5,2,293T,10uM,24h,Deoxyshikonin,Cpd0485,43043-74-9,CC(=CCCC1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)C
sample2_31,Compd0431,Plate5,2,293T,10uM,24h,cis-Tiliroside,Cpd0431,163956-16-9,C1=CC(=CC=C1C=CC(=O)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O
sample2_310,Compd0486,Plate5,2,293T,10uM,24h,Deacetyl ganoderic acid F,Cpd0486,100665-44-9,CC(CC(=O)CC(C)C(=O)O)C1CC(=O)C2(C1(C(C(=O)C3=C2C(=O)CC4C3(CCC(=O)C4(C)C)C)O)C)C
sample2_311,Compd0487,Plate5,2,293T,10uM,24h,Genistin,Cpd0487,529-59-9,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)O
sample2_312,Compd0488,Plate5,2,293T,10uM,24h,genistein,Cpd0488,446-72-0,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
sample2_313,Compd0489,Plate5,2,293T,10uM,24h,"Ginsenoside
Rb1",Cpd0489,41753-43-9,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)O)O)C
sample2_314,Compd0490,Plate5,2,293T,10uM,24h,Ginsenoside Rg1,Cpd0490,22427-39-0,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)OC6C(C(C(C(O6)CO)O)O)O)C
sample2_315,Compd0491,Plate5,2,293T,10uM,24h,Swertiajaponin,Cpd0491,6980-25-2,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O)C4C(C(C(C(O4)CO)O)O)O
sample2_316,Compd0492,Plate5,2,293T,10uM,24h,Ellagic acid,Cpd0492,476-66-4,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
sample2_317,Compd0493,Plate5,2,293T,10uM,24h,Cistanoside A,Cpd0493,93236-42-1,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)COC4C(C(C(C(O4)CO)O)O)O)OCCC5=CC(=C(C=C5)O)OC)O)O)O)O
sample2_318,Compd0494,Plate5,2,293T,10uM,24h,Cinnamic acid,Cpd0494,621-82-9,C1=CC=C(C=C1)C=CC(=O)O
sample2_319,Compd0495,Plate5,2,293T,10uM,24h,Sauchinone,Cpd0495,177931-17-8,CC1CC2C3C(C1C)C4=CC5=C(C=C4OC36C(=CC2=O)OCO6)OCO5
sample2_32,Compd0432,Plate5,2,293T,10uM,24h,"Calycosin
7-O-β-D-glucopyranoside",Cpd0432,20633-67-4,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O
sample2_320,Compd0496,Plate5,2,293T,10uM,24h,Deltonin,Cpd0496,55659-75-1,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1
sample2_321,Compd0497,Plate5,2,293T,10uM,24h,Arenobufagin,Cpd0497,464-74-4,CC12CCC(CC1CCC3C2C(C(=O)C4(C3(CCC4C5=COC(=O)C=C5)O)C)O)O
sample2_322,Compd0498,Plate5,2,293T,10uM,24h,"Arenobufagin
3-hemisuberate",Cpd0498,30219-16-0,CC12CCC(CC1CCC3C2C(C(=O)C4(C3(CCC4C5=COC(=O)C=C5)O)C)O)OC(=O)CCCCCCC(=O)O
sample2_323,Compd0499,Plate5,2,293T,10uM,24h,Complanatuside,Cpd0499,116183-66-5,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)OC5C(C(C(C(O5)CO)O)O)O)O
sample2_324,Compd0500,Plate5,2,293T,10uM,24h,Alpinetin,Cpd0500,36052-37-6,COC1=CC(=CC2=C1C(=O)CC(O2)C3=CC=CC=C3)O
sample2_325,DMSO,Plate5,2,293T,10uM,24h,,,,
sample2_326,DMSO,Plate5,2,293T,10uM,24h,,,,
sample2_327,DMSO,Plate5,2,293T,10uM,24h,,,,
sample2_328,DMSO,Plate5,2,293T,10uM,24h,,,,
sample2_329,DMSO,Plate5,2,293T,10uM,24h,,,,
sample2_33,Compd0433,Plate5,2,293T,10uM,24h,Obtusifolin,Cpd0433,477-85-0,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C2=O)C=CC=C3O
sample2_330,DMSO,Plate5,2,293T,10uM,24h,,,,
sample2_331,JQ1,Plate5,2,293T,10uM,24h,,,,
sample2_332,JQ1,Plate5,2,293T,10uM,24h,,,,
sample2_333,JQ1,Plate5,2,293T,10uM,24h,,,,
sample2_334,JQ1,Plate5,2,293T,10uM,24h,,,,
sample2_335,JQ1,Plate5,2,293T,10uM,24h,,,,
sample2_336,JQ1,Plate5,2,293T,10uM,24h,,,,
sample2_34,Compd0434,Plate5,2,293T,10uM,24h,Gallic acid,Cpd0434,149-91-7,C1=C(C=C(C(=C1O)O)O)C(=O)O
sample2_35,Compd0435,Plate5,2,293T,10uM,24h,Linarin,Cpd0435,480-36-4,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)OC)O)O)O)O)O)O)O
sample2_353,Compd0501,Plate6,2,293T,10uM,24h,Liriopeside B,Cpd0501,87425-34-1,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(C(CC(C6)O)OC7C(C(C(C(O7)C)O)O)OC8C(C(C(C(O8)C)O)OC(=O)C)O)C)C)C)OC1
sample2_354,Compd0502,Plate6,2,293T,10uM,24h,Kaempferol,Cpd0502,520-18-3,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
sample2_355,Compd0503,Plate6,2,293T,10uM,24h,"Kaempferol
3-O-gentiobiosi de",Cpd0503,22149-35-5,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)COC5C(C(C(C(O5)CO)O)O)O)O)O)O)O
sample2_356,Compd0504,Plate6,2,293T,10uM,24h,"Kaempferol
3-sophoroside-7
-rhamnoside",Cpd0504,93098-79-4,CC1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)C6=CC=C(C=C6)O)O)O)O)O
sample2_357,Compd0505,Plate6,2,293T,10uM,24h,"2,6-Dihydroxyp
urine",Cpd0505,69-89-6,C1=NC2=C(N1)C(=O)NC(=O)N2
sample2_358,Compd0506,Plate6,2,293T,10uM,24h,Shanzhiside methyl ester,Cpd0506,64421-28-9,CC1(CC(C2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)O)O
sample2_359,Compd0507,Plate6,2,293T,10uM,24h,Phellopterin,Cpd0507,2543-94-4,CC(=CCOC1=C2C(=C(C3=C1OC(=O)C=C3)OC)C=CO2)C
sample2_36,Compd0436,Plate5,2,293T,10uM,24h,Morroniside,Cpd0436,25406-64-8,CC1C2C(CC(O1)O)C(=COC2OC3C(C(C(C(O3)CO)O)O)O)C(=O)OC
sample2_360,Compd0508,Plate6,2,293T,10uM,24h,PSX015,Cpd0508,,
sample2_361,Compd0509,Plate6,2,293T,10uM,24h,Corylifol A,Cpd0509,775351-88-7,CC(=CCCC(=CCC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O)C)C
sample2_362,Compd0510,Plate6,2,293T,10uM,24h,Esculentoside A,Cpd0510,65497-07-6,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)OC6C(C(C(CO6)OC7C(C(C(C(O7)CO)O)O)O)O)O)O)C)C)C2C1)C)C(=O)O)C(=O)OC
sample2_363,Compd0511,Plate6,2,293T,10uM,24h,Esculentoside H,Cpd0511,66656-92-6,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)OC6C(C(C(CO6)OC7C(C(C(C(O7)CO)O)O)O)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C(=O)OC
sample2_364,Compd0512,Plate6,2,293T,10uM,24h,Paeoniflorin,Cpd0512,23180-57-6,CC12CC3(C4CC1(C4(C(O2)O3)COC(=O)C5=CC=CC=C5)OC6C(C(C(C(O6)CO)O)O)O)O
sample2_365,Compd0513,Plate6,2,293T,10uM,24h,Osthole,Cpd0513,484-12-8,CC(=CCC1=C(C=CC2=C1OC(=O)C=C2)OC)C
sample2_366,Compd0514,Plate6,2,293T,10uM,24h,Tectoridin,Cpd0514,611-40-5,COC1=C(C=C2C(=C1O)C(=O)C(=CO2)C3=CC=C(C=C3)O)OC4C(C(C(C(O4)CO)O)O)O
sample2_367,Compd0515,Plate6,2,293T,10uM,24h,"Cimigenol 3-O-β-D
-xylpyranoside",Cpd0515,27994-11-2,CC1CC2C(OC3(C1C4(CCC56CC57CCC(C(C7CCC6C4(C3O)C)(C)C)OC8C(C(C(CO8)O)O)O)C)O2)C(C)(C)O
sample2_368,Compd0516,Plate6,2,293T,10uM,24h,Cimifugin,Cpd0516,37921-38-3,CC(C)(C1CC2=C(O1)C=C3C(=C2OC)C(=O)C=C(O3)CO)O
sample2_369,Compd0517,Plate6,2,293T,10uM,24h,"Cimifugin
4'-O-β-D-gluco pyranoside",Cpd0517,1632110-81-6,CC(C)(C1CC2=C(O1)C=C3C(=C2OC)C(=O)C=C(O3)CO)OC4C(C(C(C(O4)CO)O)O)O
sample2_37,Compd0437,Plate5,2,293T,10uM,24h,Mudanpioside C,Cpd0437,172760-03-1,CC12CC3(C4CC1(C4(C(O2)O3)COC(=O)C5=CC=C(C=C5)O)OC6C(C(C(C(O6)COC(=O)C7=CC=CC=C7)O)O)O)O
sample2_370,Compd0518,Plate6,2,293T,10uM,24h,"Prim-o-glucosyl
cimifugin",Cpd0518,80681-45-4,CC(C)(C1CC2=C(O1)C=C3C(=C2OC)C(=O)C=C(O3)COC4C(C(C(C(O4)CO)O)O)O)O
sample2_371,Compd0519,Plate6,2,293T,10uM,24h,"Cimicidanol    3- O-α-L
-arabinoside",Cpd0519,161207-05-2,CC(CC(=O)C1C(O1)(C)C)C2C(=O)CC3(C2(CC(C45C3=CCC6C4(C5)CCC(C6(C)C)OC7C(C(C(CO7)O)O)O)O)C)C
